official_name_of_satellite,operator_owner,country_of_operator_owner,users,purpose,class_of_orbit,type_of_orbit,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime_years,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number
Dove 1c-1,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,605,621,0.00115,97.99,96.96,4,980,1500,6/19/2014,10,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033T,40027
Dove 1c-10,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,604,621,0.00122,97.99,96.95,4,980,1500,6/19/2014,10,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033P,40023
Dove 1c-11,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,606,622,0.00115,97.99,96.98,4,980,1500,6/19/2014,10,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033Z,40033
Dove 1c-2,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,605,623,0.00129,97.99,96.98,4,980,1500,6/19/2014,10,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033V,40029
Dove 1c-3,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,608,624,0.00115,97.99,97.02,4,980,1500,6/19/2014,10,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AH,40041
Dove 1c-4,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,607,622,0.00107,97.99,96.98,4,980,1500,6/19/2014,10,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033X,40031
Dove 1c-5,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,606,625,0.00136,97.99,97.01,4,980,1500,6/19/2014,10,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AE,40038
Dove 1c-6,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,607,622,0.00107,97.99,96.99,4,980,1500,6/19/2014,10,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AC,40036
Dove 1c-7,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,606,620,0.001,97.99,96.96,4,980,1500,6/19/2014,10,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033S,40026
Dove 1c-8,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,607,625,0.00129,97.99,97.02,4,980,1500,6/19/2014,10,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AG,40040
Dove 1c-9,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,607,623,0.00115,97.99,96.99,4,980,1500,6/19/2014,10,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AB,40035
Dove 1e-10,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,398,401,0.000222,51.6,92.55,4,980,1500,7/15/2015,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GP,40737
Dove 1e-11,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,396,402,0.000443,51.6,92.54,4,980,1500,7/15/2015,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GQ,40738
Dove 1e-12,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,396,402,0.000443,51.6,92.54,4,980,1500,7/15/2015,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GR,40739
Dove 1e-13,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,395,401,0.000443,51.6,92.55,4,980,1500,7/16/2015,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GS,40740
Dove 1e-14,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,395,403,0.000591,51.6,92.53,4,980,1500,7/16/2015,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GT,40741
Dove 1e-6,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,396,403,0.000517,51.6,92.55,4,980,1500,7/15/2015,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GM,40729
Dove 1e-7,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,396,402,0.000443,51.6,92.54,4,980,1500,7/14/2015,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GJ,40726
Dove 2b-1,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,400,403,0.000222,51.65,92.6,4,980,1500,10/6/2015,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HB,40950
Dove 2b-10,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,395,408,0.00096,51.64,92.6,4,980,1500,10/7/2015,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HL,40963
Dove 2b-13,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,397,407,0.000738,51.64,92.6,4,980,1500,10/7/2015,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HM,40979
Dove 2b-14,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,398,406,0.000591,51.64,92.6,4,980,1500,10/7/2015,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HN,40980
Dove 2b-2,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,398,406,0.000591,51.64,92.6,4,980,1500,10/6/2015,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HC,40951
Dove 2b-3,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,399,405,0.000443,51.64,92.6,4,980,1500,10/6/2015,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HD,40952
Dove 2b-4,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,401,403,0.000148,51.63,92.6,4,980,1500,10/6/2015,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HE,40953
Dove 2b-5,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,396,409,0.00096,51.65,92.61,4,980,1500,10/6/2015,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HF,40954
Dove 2b-6,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,396,409,0.00096,51.65,92.61,4,980,1500,10/6/2015,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HG,40955
Dove 2b-7,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,396,408,0.000886,51.64,92.6,4,980,1500,10/6/2015,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HH,40956
Dove 2b-9,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,396,408,0.000886,51.64,92.6,4,980,1500,10/7/2015,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HK,40962
Dove 2e-1,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,404,407,0.000221,51.6,92.6,4,980,1500,5/17/2016,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JD,41483
Dove 2e-2,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,403,406,0.000221,51.6,92.6,4,980,1500,5/17/2016,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JE,41484
Dove 2e-3,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,404,408,0.000295,51.6,92.5,4,980,1500,5/17/2016,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JG,41486
Dove 2e-4,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,402,407,0.000369,51.6,92.5,4,980,1500,5/17/2016,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JH,41487
Dove 2ep-1,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,399,402,0.000222,51.6,92.5,4,980,1500,5/17/2016,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HZ,41479
Dove 2ep-2,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,400,401,0.0000738,51.6,92.5,4,980,1500,5/17/2016,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JB,41481
Dove 2ep-3,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,398,402,0.000295,51.6,92.5,4,980,1500,5/17/2016,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JA,41480
Dove 2ep-4,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Non-Polar Inclined,399,402,0.000222,51.6,92.5,4,980,1500,5/17/2016,10,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1988-067JC,41482
Dove 2p-1,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,500,513,0.000945,97.51,94.75,4,980,1500,6/22/2016,10,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040U,41617
Dove 2p-2,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,499,516,0.00124,97.51,94.77,4,980,1500,6/22/2016,10,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040L,41609
Dove 2p-3,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,500,514,0.00102,97.51,94.75,4,980,1500,6/22/2016,10,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040V,41618
Dove 2p-4,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,499,514,0.00109,97.51,94.76,4,980,1500,6/22/2016,10,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040N,41611
Dove 2p-5,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,500,514,0.00102,97.51,94.75,4,980,1500,6/22/2016,10,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040T,41616
Dove 2p-6,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,500,514,0.00102,97.51,94.75,4,980,1500,6/22/2016,10,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040H,41606
Dove 2p-7,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,500,514,0.00102,97.51,94.75,4,980,1500,6/22/2016,10,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040S,41615
Dove 2p-8,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,500,514,0.00102,97.51,94.76,4,980,1500,6/22/2016,10,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040Q,41613
Dove 2p-9,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,500,514,0.00102,97.51,94.77,4,980,1500,6/22/2016,10,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040M,41610
Dove 2p-10,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,500,513,0.000945,97.51,94.76,4,980,1500,6/22/2016,10,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040P,41612
Dove 2p-11,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,496,518,0.0016,97.51,94.77,4,980,1500,6/22/2016,10,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040K,41608
Dove 2p-12,"Planet Labs, Inc.",USA,Commercial,Earth Observation,LEO,Sun-Synchronous,499,514,0.00109,97.51,94.75,4,980,1500,6/22/2016,10,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040R,41614
Dove-3,"Planet Labs, Inc.",USA,Commercial,Technology Development,LEO,Sun-Synchronous,594,815,0.0156,97.7,98.8,4,980,1500,11/21/2013,10,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2013-066P,39429
Duchifat-1,Herzliya Science Centre (HSC),Israel,Civil,Communications,LEO,Sun-Synchronous,601,623,0.00158,97.97,96.93,1,980,1500,6/19/2014,10,Herzliya Science Centre (HSC),Israel,Dombarovsky Air Base,Dnepr,2014-033M,40021
DX-1,Dauria Aerospace,Russia,Commercial,Communications,LEO,Sun-Synchronous,626,636,0.000714,98.4,97.33,27,980,1500,7/8/2014,10,Dauria Aerospace,Russia,Baikonur Cosmodrome,Soyuz-2.1b,2014-037C,40071
ELISA-E12,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),France,Military,Earth Observation,LEO,Sun-Synchronous,675,692,0.00121,98.21,98.43,120,980,1500,12/17/2011,10,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,2011-076D,38010
ELISA-E24,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),France,Military,Earth Observation,LEO,Sun-Synchronous,675,692,0.00121,98.21,98.43,120,980,1500,12/17/2011,10,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,2011-076B,38008
ELISA-W11,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),France,Military,Earth Observation,LEO,Sun-Synchronous,677,692,0.00106,98.21,98.45,120,980,1500,12/17/2011,10,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,2011-076A,38007
ELISA-W23,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),France,Military,Earth Observation,LEO,Sun-Synchronous,677,692,0.00106,98.21,98.46,120,980,1500,12/17/2011,10,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,2011-076C,38009
e-st@r-2,Polytechnic of Turin,Italy,Civil,Technology Development,LEO,Elliptical,442,687,0.0177,98.2,95.9,1,980,1500,4/25/2016,10,Polytechnic of Turin,Italy,Guiana Space Center,Soyuz 2-1a,2016-025D,41459
exactView 1,exactEarth,Canada,Commercial,Communications,LEO,Sun-Synchronous,806,821,0.00104,99,101.2,100,980,1500,7/22/2012,10,Surrey Satellite Technologies Ltd.,United Kingdom,Baikonur Cosmodrome,Soyuz-Fregat,2012-039C,38709
Falconsat-3,US Air Force Academy,USA,Military/Civil,Technology Development,LEO,Non-Polar Inclined,538,540,0.000145,35.4,95.4,46,980,1500,3/9/2007,10,US Air Force Academy,USA,Cape Canaveral,Atlas 5,2007-006E,30776
USA 222,University of Texas - Austin,USA,Civil,Technology Development,LEO,Polar,627,654,0.00193,71.97,97.54,55,980,1500,11/20/2010,10,University of Texas - Austin,USA,Kodiak Launch Complex,Minotaur 4,2010-062F,37227
Fengniao 1A,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,Sun-Synchronous,488,500,0.000874,97.35,94.49,160,980,1500,11/20/2012,10,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 2C,2012-064B,38998
Fengyun 3A,China Meteorological Administration,China,Government,Earth Observation,LEO,Sun-Synchronous,820,835,0.00104,98.6,101.5,2300,980,1500,5/27/2008,10,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4C,2008-026A,32958
Fengyun 3B,China Meteorological Administration,China,Government,Earth Observation,LEO,Sun-Synchronous,827,828,0.0000695,98.8,101.5,2300,980,1500,11/4/2010,10,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4C,2010-059A,37214
Fengyun 3C,China Meteorological Administration,China,Government,Earth Observation,LEO,Sun-Synchronous,827,828,0.0000695,98.81,101.45,2300,980,1500,9/23/2013,10,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4C,2013-052A,39260
Fermi Gamma-Ray Space Telescope,NASA/GSFC,USA,Government,Space Science,LEO,Non-Polar Inclined,537,556,0.00137,25.6,95.6,4303,980,1500,6/11/2008,10,General Dynamics,USA,Cape Canaveral,Delta 2,2008-029A,33053
FUNCube-1 (AO-73),AMSAT-UK,Netherlands,Civil,Communications,LEO,Sun-Synchronous,594,683,0.00635,97.8,97.4,1,980,1500,11/21/2013,10,AMSAT/UK-AMSAT/NL,UK/Netherlands,Dombarovsky Air Base,Dnepr,2013-066AE,39444
Galassia,National University of Singapore,Singapore,Civil,Earth Science,LEO,Equatorial,529,549,0.00145,14.98,95.43,3,980,1500,12/16/2015,10,National University of Singapore,Singapore,Satish Dhawan Space Centre,PSLV-C29,2015-077E,41170
GATOSS,GomSpace ApS,Denmark,Commercial,Technology Development,LEO,Sun-Synchronous,593,819,0.016,97.7,98.9,5,980,1500,11/21/2013,10,GomSpace/University of Aalborg,Denmark,Dombarovsky Air Base,Dnepr,2013-066Q,39430
GEARRSAT-2,NearSpace Launch/Air Force Research Laboratory,USA,Government,Technology Development,LEO,Non-Polar Inclined,356,700,0.0249,55,95,10,980,1500,5/20/2015,10,NearSpace Launch/Air Force Research Laboratory,USA,Cape Canaveral,Atlas 5,2015-025G,40657
GHGSat-D,"GHGSat, Inc.",Canada,Commercial,Earth Science,LEO,Sun-Synchronous,500,512,0.000873,97.5,94.7,15,980,1500,6/22/2016,10,"University of Toronto, Institute for Aerospace Studies/ Space Flight Laboratory",Canada,Satish Dhawan,PSLV XL,2016-040D,41602
GOMX-3,GomSpace ApS,Denmark,Commercial,Technology Development,LEO,Non-Polar Inclined,394,409,0.00111,51.64,92.6,3,980,1500,10/5/2015,10,GomSpace/ESA,Denmark,International Space Station,Nanorack Deployer,1998-067HA,40949
GPM Core Observatory,NASA/JAXA,USA/Japan,Government,Earth Observation,LEO,Non-Polar Inclined,392,409,0.00126,65.02,92.57,3850,980,1500,2/27/2014,10,NASA/Goddard Space Flight Center,USA,Tanegashima Space Center,H2A,2014-009C,39574
GRIFEX,University of Michigan/NASA Earth Science Technology Office,USA,Government/Civil,Technology Development,LEO,Elliptical,441,659,0.0158,99.1,95.5,4,980,1500,1/31/2015,10,"Michigan Exploration Laboratory, University of Michigan",USA,Vandenberg AFB,Delta 2,2015-003D,40379
HumSat-D,University of Vigo,Spain,Civil,Technology Development,LEO,Sun-Synchronous,590,640,0.00358,97.8,96.9,1,980,1500,11/21/2013,10,University of Vigo,Spain,Dombarovsky Air Base,Dnepr,2013-066T,39433
USA 184,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Elliptical,Molniya,1111,37564,0.709,63,684,4000,980,1500,6/28/2006,10,National Reconnaissance Laboratory,USA,Vandenberg AFB,Delta 4,2006-027A,29249
USA 200,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Elliptical,Molniya,1112,37580,0.709,63.56,684,4200,980,1500,3/13/2008,10,National Reconnaissance Laboratory,USA,Vandenberg AFB,Atlas 5,2008-010A,32706
USA 259,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Elliptical,Molniya,2103,37746,0.678,62.85,707.55,4200,980,1500,12/13/2014,10,National Reconnaissance Laboratory,USA,Vandenberg AFB,Atlas 5,2014-081A,40344
Interstellar Boundary Explorer,NASA/Goddard Space Flight Center,USA,Government,Space Science,Elliptical,Deep Highly Eccentric,62200,268679,0.601,15.2,11520,462,980,1500,10/19/2008,10,Orbital Sciences Corp.,USA,Kwajalein Island,Pegasus XL,2008-051A,33401
Jilin-1,Changchun Institute of Optics,China,Commercial,Earth Observation,LEO,Sun-Synchronous,638,662,0.00171,98.05,97.73,400,980,1500,10/7/2015,10,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057D,40961
Kaituo-1A,China Aerospace Science and Technology Corporation,China,Government,Technology Development,LEO,Sun-Synchronous,518,536,0.0013,97.46,95.18,130,980,1500,9/19/2015,10,China Aerospace Science and Technology Corporation,China,Taiyuan Launch Center,Long March 6,2015-049F,40904
Kent Ridge 1,National University of Singapore,Singapore,Civil,Earth Observation,LEO,Equatorial,534,551,0.00123,14.98,95.49,78,980,1500,12/16/2015,10,National University of Singapore,Singapore,Satish Dhawan Space Center,PSLV-C29,2015-077B,41167
KJSY-1,Tsinghua University,China,Civil,Technology Development,LEO,Sun-Synchronous,520,540,0.00145,97.46,95.23,1,980,1500,9/19/2015,10,Tsinghua University,China,Taiyuan Launch Center,Long March 6,2015-049R,40914
